user_pseudo_id,days_of_browsing,t_clickcategory,t_viewcourse,t_search,t_sortfilter,t_viewteacher,t_clickbuy,t_clickproceed
1611936123.1641885911,18,6,86,,,,2,5
633760532.1627786951,4,1,85,11,,,1,
465668912.1647398795,25,2,75,2,,,1,
5703407b9f7bfc35cb007352,2,,4,2,,,2,2
711051257.1644548780,4,,47,4,,,1,
740069308.1654004672,5,5,52,,,,2,1
1154768735.1641561294,2,,2,,,,2,
1990554942.1608956395,7,16,51,3,,,1,
5d57ab095962b418bde6b0c7,12,30,30,,,,4,10
853209270.1641641896,1,,2,,,,1,
5b93484f1ee76e4e7900056a,2,,12,1,,1,1,
5bdbcb5e4f27e83fc3000182,2,9,5,,,,1,1
216170999.1646205423,36,8,141,,,,1,3
1314908300.1653934147,4,16,13,,,,1,
1884444421.1645085657,9,2,69,1,,,1,1
228652621.1645070455,14,,87,,,,1,1
5be1a4034f27e86940004333,2,,5,1,,,1,
738378005.1651547785,6,6,26,,,,1,1
970588179.1634059216,12,4,85,2,2,3,2,3
109890332.1645797630,7,4,64,3,,,1,1
1544961707.1646358049,1,,6,,,,1,
1595009722.1650467317,2,3,28,4,,1,1,
5698f48b9a311447dd000873,28,1,83,,,,2,
57328b14e7e9dd2ab10035c7,5,8,15,1,,,2,1
835764311.1644580360,3,,28,,,,1,1
1063133172.1639485309,19,1,199,,,,1,1
1450251105.1642472618,6,1,47,5,,,1,1
3d429087-c8c0-403a-8cc8-479e456734cc,9,102,117,13,,9,1,
1308663956.1649414989,10,,26,1,,,2,1
1395495234.1640835286,1,,15,,,,1,
1415893499.1642332262,1,,4,,,,1,
495274693.1646723090,13,24,50,,,,1,
914640894.1649468031,9,8,57,12,,,1,1
934201939.1576669586,5,3,43,2,,,1,1
1771193445.1637940915,5,10,68,6,,1,2,
178731534.1648110228,19,107,214,,48,5,1,
1ba6c8d9-61b6-4e03-97a6-fdb7695727f0,5,15,32,3,4,,1,2
450978761.1642813008,1,,41,10,,,1,1
1385895539.1654228193,1,3,15,,19,1,1,1
47dd8637-a388-4671-9f13-291f25041e16,1,1,3,,,,1,
558741706.1623797740,1,2,9,,,,1,2
5a6efdc10e126624e0000000,24,29,66,4,19,,4,4
61c1cee54b6eef004fc746da,24,17,235,2,4,,2,
104955812.1643109963,2,6,54,,,,2,1
137106756.1648615301,27,88,253,13,7,18,10,4
1749635011.1646953166,3,2,7,,,,12,
316917842.1641130599,11,11,209,,7,,2,1
575a34859a3114282d004da5,1,18,16,,,,3,1
5ea19b995962b4344e407744,1,,1,,,1,1,1
715826462.1634651415,59,52,257,,,,5,5
195366716.1644403172,16,3,143,,,,1,1
25493156.1643528104,38,10,417,,4,,1,
1459797232.1649691343,21,25,99,1,,,1,1
2039468920.1642849704,2,1,16,,,,1,1
581586356.1644757264,8,,57,,,,1,
bf7d89ca-ab96-4583-b580-f149f83b6e1e,6,20,25,,15,3,1,
1454065337.1650646322,4,12,22,3,,,1,1
573191909a31145962003714,4,,20,4,,1,1,3
5a491eaf0e126636c10009df,8,35,68,5,,2,3,6
1401639512.1648971650,15,3,64,2,,,1,
1695405800.1642083675,5,,12,,,,2,
1714462593.1654572251,1,,5,1,,,1,
1769976438.1641969661,5,3,47,,,,1,2
667050208.1648549011,1,,2,,,,1,1
844197365.1637310935,12,4,103,3,,,3,3
1538536244.1648998003,18,19,113,5,,,3,
1563550954.1651030977,4,,11,,,,1,
41448064.1643014936,18,10,315,5,,,2,1
867946209.1648138517,3,,8,1,,,1,1
137292419.1652878420,1,,4,,,,1,1
1701375075.1638073004,6,,32,5,,,1,
210638160.1644228361,1,8,115,6,,,2,3
234343238.1646106330,13,24,93,2,7,4,1,1
5793258a9a311438ee014037,2,1,28,7,,,2,2
660879794.1648287596,8,6,45,,,,2,
c6610fe0-c4a8-4890-b9cd-437c3b3f5cb4,21,2,25,1,3,2,1,3
1718380546.1645252585,7,1,60,8,,1,1,3
172215239.1630135644,57,51,281,,8,,2,
57c79252e7e9dd42bd00018c,8,,20,3,,,1,
1062436280.1641389004,21,10,198,11,,,3,2
273906063.1632644990,1,,2,,,,1,
ce5aa603-86cb-4fad-815f-c0088385e959,11,3,19,,,,1,1
301041ee-02a6-4380-bf9c-d9b4181067de,1,,,,,,1,
c7e8970e-793a-4808-9ee8-e84ceabb11ad,1,,1,,,,1,
17579200.1645518769,26,186,609,214,4,37,1,
5d283aea5962b477df077306,4,9,23,3,,1,3,
145305623.1557283278,72,,441,,,,1,
1740897250.1645430450,1,1,6,,,,1,
1982666980.1579245887,13,13,108,,,,2,1
56e77c9ae7e9dd46cc0011f4,4,5,7,,,,1,1
59562708e7e9dd3337000713,13,20,77,8,10,1,3,2
